0,1,2,3,4
33.1265107,-117.3273682,-20.234,1.146,1.17
33.1265114,-117.3273685,-20.216,1.14,1.15
33.1265119,-117.3273687,-20.215,1.127,1.14
33.1265127,-117.3273692,-20.239,1.163,1.13
33.1265134,-117.3273696,-20.273,1.22,1.16
33.1265142,-117.3273697,-20.302,1.243,1.22
33.1265149,-117.3273698,-20.315,1.239,1.24
33.1265157,-117.3273699,-20.346,1.257,1.24
33.1265166,-117.3273702,-20.334,1.305,1.26
33.1265172,-117.3273705,-20.335,1.312,1.31
33.1265177,-117.3273707,-20.381,1.301,1.31
33.1265183,-117.3273708,-20.436,1.265,1.3
33.126519,-117.3273704,-20.621,1.233,1.27
33.1265199,-117.3273701,-20.765,1.268,1.23
33.1265205,-117.3273699,-20.858,1.274,1.27
33.1265213,-117.3273701,-20.851,1.321,1.27
33.1265223,-117.3273703,-20.861,1.386,1.32
33.1265231,-117.3273708,-20.804,1.416,1.39
33.1265237,-117.3273711,-20.829,1.425,1.42
33.1265241,-117.3273713,-20.832,1.416,1.43
33.1265246,-117.3273718,-20.744,1.398,1.42
33.1265255,-117.3273723,-20.641,1.42,1.4
33.1265264,-117.3273729,-20.544,1.424,1.42
33.1265274,-117.3273735,-20.43,1.444,1.43
33.126528,-117.3273741,-20.288,1.427,1.45
33.1265284,-117.3273747,-20.153,1.418,1.43
33.1265287,-117.3273754,-20.0,1.397,1.42
33.1265293,-117.3273757,-19.951,1.387,1.4
33.12653,-117.3273763,-19.828,1.406,1.39
33.1265309,-117.3273768,-19.714,1.416,1.41
33.1265318,-117.3273772,-19.658,1.43,1.42
33.1265324,-117.3273773,-19.683,1.42,1.43
33.126533,-117.3273776,-19.633,1.402,1.42
33.1265339,-117.327378,-19.587,1.418,1.4
33.1265347,-117.3273785,-19.522,1.435,1.42
33.1265354,-117.3273786,-19.512,1.455,1.44
33.1265361,-117.3273789,-19.5,1.483,1.46
33.1265365,-117.327379,-19.493,1.46,1.48
33.1265371,-117.3273793,-19.459,1.459,1.46
33.1265377,-117.3273796,-19.431,1.455,1.46
33.1265385,-117.3273797,-19.427,1.439,1.44
33.1265392,-117.3273799,-19.419,1.423,1.44
33.1265398,-117.3273802,-19.445,1.425,1.42
33.1265406,-117.3273806,-19.411,1.418,1.43
33.1265413,-117.327381,-19.373,1.403,1.42
33.126542,-117.3273813,-19.366,1.426,1.4
33.1265426,-117.3273817,-19.324,1.466,1.43
33.1265432,-117.327382,-19.28,1.48,1.47
33.1265442,-117.3273825,-19.229,1.508,1.48
33.126545,-117.3273828,-19.18,1.517,1.51
33.1265459,-117.3273832,-19.163,1.535,1.52
33.1265462,-117.3273835,-19.184,1.514,1.54
33.1265468,-117.3273839,-19.184,1.474,1.52
33.1265477,-117.3273844,-19.193,1.456,1.47
33.1265488,-117.3273847,-19.14,1.483,1.46
33.1265501,-117.3273852,-19.131,1.578,1.48
33.126551,-117.3273857,-19.131,1.603,1.58
33.1265515,-117.327386,-19.094,1.575,1.6
33.1265522,-117.3273863,-19.058,1.573,1.58
33.1265529,-117.3273866,-19.038,1.574,1.57
33.1265539,-117.3273871,-19.047,1.579,1.58
33.1265549,-117.3273877,-19.052,1.582,1.58
33.1265557,-117.3273881,-19.036,1.546,1.58
33.1265567,-117.3273885,-19.029,1.545,1.55
33.1265576,-117.327389,-18.997,1.564,1.55
33.1265584,-117.3273894,-18.977,1.593,1.57
33.1265589,-117.3273897,-18.938,1.59,1.59
33.1265596,-117.3273901,-18.915,1.613,1.59
33.1265603,-117.3273904,-18.928,1.632,1.62
33.1265611,-117.3273908,-18.923,1.638,1.63
33.1265617,-117.3273911,-18.903,1.62,1.64
33.1265625,-117.3273915,-18.926,1.608,1.62
33.1265634,-117.3273921,-18.962,1.623,1.61
33.1265645,-117.3273927,-18.994,1.651,1.62
33.1265654,-117.3273929,-18.979,1.659,1.65
33.1265662,-117.3273933,-18.94,1.684,1.66
33.1265673,-117.3273938,-18.962,1.727,1.69
33.1265679,-117.3273941,-18.97,1.723,1.73
33.1265681,-117.3273943,-18.967,1.685,1.72
33.1265691,-117.3273947,-18.967,1.69,1.69
33.1265699,-117.327395,-19.017,1.649,1.69
33.1265702,-117.3273952,-19.069,1.578,1.65
33.1265707,-117.3273955,-19.129,1.545,1.58
33.1265713,-117.3273957,-19.208,1.543,1.55
33.1265718,-117.3273961,-19.25,1.551,1.54
33.1265723,-117.3273963,-19.318,1.573,1.55
33.1265727,-117.3273964,-19.378,1.57,1.57
33.126573,-117.3273966,-19.417,1.552,1.57
33.1265733,-117.3273969,-19.452,1.534,1.55
33.1265735,-117.3273971,-19.486,1.498,1.53
33.1265738,-117.3273973,-19.519,1.462,1.5
33.1265743,-117.3273976,-19.542,1.458,1.46
33.1265748,-117.3273979,-19.541,1.453,1.46
33.1265753,-117.3273981,-19.602,1.486,1.45
33.1265758,-117.3273982,-19.684,1.501,1.49
33.1265765,-117.3273985,-19.75,1.547,1.5
33.1265767,-117.3273986,-19.839,1.539,1.55
33.1265765,-117.3273986,-19.874,1.506,1.54
33.1265762,-117.3273988,-19.881,1.443,1.51
33.1265764,-117.327399,-19.925,1.417,1.44
33.1265766,-117.3273993,-19.936,1.396,1.42
33.1265771,-117.3273997,-19.928,1.421,1.4
33.1265774,-117.3273999,-19.929,1.406,1.42
33.1265779,-117.3274002,-19.919,1.402,1.41
33.1265785,-117.3274006,-19.915,1.415,1.4
33.1265791,-117.3274009,-19.917,1.436,1.42
33.12658,-117.3274011,-19.897,1.447,1.44
33.1265806,-117.3274013,-19.849,1.416,1.45
33.1265811,-117.3274017,-19.809,1.417,1.42
33.1265818,-117.3274021,-19.817,1.434,1.42
33.1265824,-117.3274024,-19.859,1.425,1.44
33.1265832,-117.3274027,-19.849,1.398,1.43
33.126584,-117.3274031,-19.789,1.381,1.4
33.1265851,-117.3274037,-19.743,1.417,1.38
33.126586,-117.3274041,-19.736,1.455,1.42
33.1265868,-117.3274043,-19.74,1.485,1.46
33.1265877,-117.3274046,-19.644,1.468,1.49
33.1265888,-117.3274052,-19.523,1.467,1.47
33.1265896,-117.3274056,-19.482,1.452,1.47
33.1265905,-117.327406,-19.501,1.468,1.45
33.1265912,-117.3274064,-19.496,1.434,1.47
33.1265919,-117.3274069,-19.511,1.426,1.44
33.1265928,-117.3274074,-19.52,1.438,1.43
33.1265935,-117.3274079,-19.494,1.452,1.44
33.1265939,-117.3274085,-19.445,1.47,1.45
33.1265944,-117.327409,-19.403,1.462,1.47
33.1265951,-117.3274095,-19.399,1.491,1.46
33.1265958,-117.32741,-19.364,1.521,1.49
33.1265966,-117.3274105,-19.323,1.51,1.52
33.1265972,-117.3274108,-19.314,1.458,1.51
33.1265978,-117.327411,-19.302,1.408,1.46
33.1265987,-117.3274115,-19.326,1.434,1.41
33.1265996,-117.3274119,-19.329,1.469,1.43
33.1265999,-117.3274121,-19.341,1.43,1.47
33.1266,-117.3274121,-19.403,1.36,1.43
33.1266007,-117.3274122,-19.439,1.352,1.36
33.1266013,-117.3274124,-19.48,1.347,1.35
33.1266019,-117.3274129,-19.543,1.42,1.35
33.1266026,-117.3274132,-19.556,1.435,1.42
33.1266031,-117.3274134,-19.539,1.394,1.43
33.1266038,-117.3274137,-19.539,1.392,1.39
33.1266047,-117.3274141,-19.524,1.417,1.39
33.1266054,-117.3274146,-19.541,1.431,1.42
33.1266063,-117.327415,-19.542,1.441,1.43
33.126607,-117.3274153,-19.529,1.416,1.44
33.1266075,-117.3274157,-19.5,1.404,1.42
33.1266082,-117.3274163,-19.455,1.43,1.4
33.1266088,-117.3274167,-19.442,1.439,1.43
33.126609,-117.3274169,-19.442,1.399,1.44
33.1266098,-117.3274171,-19.415,1.379,1.4
33.1266105,-117.3274174,-19.397,1.336,1.38
33.1266111,-117.3274179,-19.393,1.34,1.34
33.126612,-117.3274184,-19.365,1.346,1.34
33.1266128,-117.3274187,-19.327,1.362,1.35
33.1266134,-117.327419,-19.343,1.371,1.36
33.1266144,-117.3274193,-19.357,1.418,1.37
33.1266151,-117.3274197,-19.347,1.434,1.42
33.1266159,-117.32742,-19.307,1.426,1.43
33.1266167,-117.3274204,-19.302,1.431,1.43
33.1266176,-117.3274209,-19.298,1.469,1.43
33.1266181,-117.3274212,-19.281,1.422,1.47
33.1266188,-117.3274218,-19.292,1.431,1.42
33.1266198,-117.3274222,-19.314,1.43,1.43
33.1266206,-117.3274225,-19.296,1.4,1.43
33.1266213,-117.3274228,-19.26,1.372,1.4
33.1266221,-117.3274232,-19.244,1.396,1.37
33.1266227,-117.3274237,-19.266,1.418,1.4
33.1266233,-117.327424,-19.306,1.425,1.42
33.1266241,-117.3274243,-19.339,1.442,1.43
33.126625,-117.3274247,-19.347,1.445,1.44
